    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
 5521,       7524711,         7519202,           8150,     61764,       30114,        443,           ,             ,            ,   120661,      63952,       515
 5522,       7526425,         7520915,           8284,     61790,       30130,        463,           ,             ,            ,   120666,      63970,       498
 5523,       7530985,         7525474,           8179,     61853,       30278,        437,           ,             ,            ,   120721,      64048,       491
 5524,       7533824,         7528312,           8256,     61856,       30233,        493,           ,             ,            ,   120707,      63992,       501
 5525,       7537380,         7531867,           8354,     61855,       30211,        456,           ,             ,            ,   120858,      64059,       526
 5526,       7540332,         7534818,           8199,     61829,       30213,        476,           ,             ,            ,   120759,      64044,       496
 5527,       7544329,         7538814,           8161,     61858,       30245,        459,           ,             ,            ,   120835,      64061,       525
 5528,       7544439,         7538923,           8266,     61885,       30253,        449,           ,             ,            ,   120881,      64104,       494
 5529,       7548510,         7542993,           8348,     61877,       30281,        446,           ,             ,            ,   120765,      64011,       493
 5530,       7552365,         7546847,           8294,     61892,       30276,        444,           ,             ,            ,   120824,      64060,       489
 5531,       7555651,         7550132,           8219,     61878,       30261,        441,           ,             ,            ,   120873,      64082,       488
 5532,       7559176,         7553656,           8254,     61885,       30283,        440,           ,             ,            ,   120912,      64081,       488
 5533,       7564544,         7559023,           8523,     61896,       30348,        446,           ,             ,            ,   120899,      64129,       495
 5534,       7566582,         7561060,           8349,     61917,       30375,        451,           ,             ,            ,   120908,      64058,       497
 5535,       7569994,         7564471,           8372,     61944,       30340,        445,           ,             ,            ,   120960,      64129,       486
 5536,       7570692,         7565168,           8294,     61952,       30349,        430,           ,             ,            ,   121054,      64136,       492
 5537,       7573116,         7567591,           8225,     61926,       30310,        478,           ,             ,            ,   121008,      64120,       513
 5538,       7574372,         7568846,           8285,     61957,       30313,        495,           ,             ,            ,   121031,      64163,       558
 5539,       7578555,         7573028,           8321,     61967,       30260,        457,           ,             ,            ,   121079,      64190,       538
 5540,       7581077,         7575549,           8447,     61979,       30299,        575,           ,             ,            ,   121063,      64174,       497
 5541,       7582076,         7576547,           8323,     62041,       30307,        560,           ,             ,            ,   121197,      64249,       990
 5542,       7587383,         7581853,           8420,     62062,       30289,        469,           ,             ,            ,   121178,      64194,       501
 5543,       7588137,         7582606,           8436,     62029,       30247,        463,           ,             ,            ,   121186,      64238,       505
 5544,       7591896,         7586364,           8299,     62049,       30276,        481,           ,             ,            ,   121275,      64302,       533
 5545,       7592211,         7586678,           8297,     62031,       30326,        439,           ,             ,            ,   121264,      64258,       492
 5546,       7595472,         7589938,           8351,     62071,       30340,        464,           ,             ,            ,   121270,      64278,       508
 5547,       7598285,         7592750,           8234,     62055,       30400,        454,           ,             ,            ,   121276,      64240,       499
