     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  3102,       2422842,         2419750,           2725,     32072,       15782,        235,           ,             ,            ,    62569,      33353,       262
  3103,       2423524,         2420431,           2630,     32100,       15803,        228,           ,             ,            ,    62604,      33340,       262
  3104,       2426588,         2423494,           2684,     32112,       15809,        241,           ,             ,            ,    62578,      33340,       265
  3105,       2429343,         2426248,           2755,     32196,       15800,        234,           ,             ,            ,    62588,      33346,       259
  3106,       2431616,         2428520,           2637,     32185,       15787,        223,           ,             ,            ,    62635,      33349,       258
  3107,       2431899,         2428802,           2701,     32181,       15834,        236,           ,             ,            ,    62671,      33387,       255
  3108,       2433172,         2430074,           2655,     32205,       15843,        240,           ,             ,            ,    62675,      33359,       265
  3109,       2434907,         2431808,           3343,     32231,       15890,        235,           ,             ,            ,    62736,      33410,       264
  3110,       2436406,         2433306,           2837,     32224,       15876,        241,           ,             ,            ,    62745,      33420,       265
  3111,       2436763,         2433662,           2678,     32266,       15861,        275,           ,             ,            ,    62760,      33475,       265
  3112,       2436990,         2433888,           2952,     32292,       15867,        228,           ,             ,            ,    62779,      33432,       261
  3113,       2437033,         2433930,           2645,     32221,       15877,        236,           ,             ,            ,    62798,      33479,       260
  3114,       2437220,         2434116,           2718,     32262,       15900,        230,           ,             ,            ,    62808,      33474,       314
  3115,       2439009,         2435904,           2772,     32282,       15933,        234,           ,             ,            ,    62818,      33449,       258
  3116,       2439642,         2436536,           2661,     32260,       15955,        250,           ,             ,            ,    62854,      33483,       270
  3117,       2440621,         2437514,           2726,     32327,       15886,        229,           ,             ,            ,    62888,      33496,       258
  3118,       2440661,         2437553,           2660,     32333,       15879,        234,           ,             ,            ,    62926,      33500,       262
  3119,       2442264,         2439155,           2665,     32284,       15848,        224,           ,             ,            ,    62950,      33533,       262
  3120,       2443722,         2440612,           2807,     32305,       15847,        221,           ,             ,            ,    62959,      33515,       283
  3121,       2444840,         2441729,           2684,     32328,       15920,        254,           ,             ,            ,    62946,      33489,       273
  3122,       2444988,         2441876,           2691,     32376,       15937,        222,           ,             ,            ,    63036,      33585,       258
  3123,       2444996,         2441883,           2662,     32357,       15953,        237,           ,             ,            ,    63054,      33578,       261
  3124,       2445284,         2442170,           2674,     32389,       15958,        247,           ,             ,            ,    63047,      33585,       268
  3125,       2448190,         2445075,           2790,     32380,       16016,        239,           ,             ,            ,    63086,      33605,       265
  3126,       2450272,         2447156,           2655,     32374,       15984,        227,           ,             ,            ,    63068,      33603,       263
  3127,       2450783,         2447666,           2753,     32389,       15973,        244,           ,             ,            ,    63134,      33651,       274
  3128,       2451985,         2448867,           2678,     32398,       15983,        243,           ,             ,            ,    63162,      33672,       274
  3129,       2454967,         2451848,           2735,     32427,       15966,        232,           ,             ,            ,    63134,      33628,       263
  3130,       2456604,         2453484,           2673,     32442,       15980,        225,           ,             ,            ,    63131,      33605,       259
  3131,       2458297,         2455176,           2678,     32487,       15978,        248,           ,             ,            ,    63220,      33680,       289
  3132,       2460875,         2457753,           2683,     32501,       15973,        219,           ,             ,            ,    63258,      33664,       319
  3133,       2463436,         2460313,           2667,     32454,       15963,        223,           ,             ,            ,    63240,      33661,       261
  3134,       2465822,         2462698,           2728,     32497,       15966,        228,           ,             ,            ,    63283,      33719,       305
  3135,       2467753,         2464628,           2675,     32505,       15982,        246,           ,             ,            ,    63335,      33736,       267
  3136,       2469705,         2466579,           2687,     32520,       15983,        261,           ,             ,            ,    63351,      33719,       293
  3137,       2470503,         2467376,           2694,     32534,       16001,        230,           ,             ,            ,    63375,      33792,       261
  3138,       2472503,         2469375,           2766,     32549,       16019,        235,           ,             ,            ,    63372,      33761,       261
  3139,       2474967,         2471838,           2738,     32560,       16012,        228,           ,             ,            ,    63396,      33745,       261
  3140,       2475323,         2472193,           2684,     32562,       16018,        225,           ,             ,            ,    63424,      33776,       269
  3141,       2477599,         2474468,           2683,     32528,       16044,        255,           ,             ,            ,    63507,      33834,       296
  3142,       2478897,         2475765,           2767,     32522,       16023,        251,           ,             ,            ,    63473,      33819,       269
  3143,       2479121,         2475988,           2696,     32574,       16020,        236,           ,             ,            ,    63485,      33822,       266
  3144,       2481711,         2478577,           2743,     32569,       16020,        249,           ,             ,            ,    63523,      33830,       269
  3145,       2482191,         2479056,           2708,     32672,       16084,        247,           ,             ,            ,    63583,      33859,       268
  3146,       2482984,         2479848,           2696,     32643,       16096,        487,           ,             ,            ,    63544,      33853,       621
  3147,       2483272,         2480135,           2697,     32667,       16085,        250,           ,             ,            ,    63614,      33881,       269
  3148,       2486258,         2483120,           2696,     32702,       16089,        230,           ,             ,            ,    63569,      33860,       266
  3149,       2487283,         2484144,           2790,     32669,       16100,        251,           ,             ,            ,    63653,      33923,       270
  3150,       2489762,         2486622,           3051,     32684,       16081,        243,           ,             ,            ,    63660,      33897,       270
  3151,       2491081,         2487940,           2822,     32713,       16104,        244,           ,             ,            ,    63652,      33898,       276
  3152,       2494104,         2490962,           3386,     32728,       16093,        241,           ,             ,            ,    63656,      33888,       269
  3153,       2496547,         2493404,           2711,     32714,       16037,        233,           ,             ,            ,    63681,      33888,       268
  3154,       2497004,         2493860,           2720,     32721,       16049,        230,           ,             ,            ,    63752,      33978,       267
